Date : 2023-08-29 20:12:03
Directory : /Users/sbukhari/Sandbox/CProgram/ASTanalysis
Total : 4163 files,  332580 codes, 38887 comments, 22538 blanks, all 394005 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| CodexUserStudyData/Assisted/be6fa0a5-e7ff-4ae0-b846-57d9385acd84                                                                                                |         20 |      1,821 |        188 |        159 |      2,168 |
| CodexUserStudyData/Assisted/be6fa0a5-e7ff-4ae0-b846-57d9385acd84 (Files)                                                                                        |          8 |      1,469 |         56 |         64 |      1,589 |
| CodexUserStudyData/Assisted/be6fa0a5-e7ff-4ae0-b846-57d9385acd84/parts                                                                                          |         12 |        352 |        132 |         95 |        579 |
| CodexUserStudyData/Assisted/c23b2615-700f-48f2-b33d-3433d1c25bb6                                                                                                |         20 |      1,904 |        224 |         89 |      2,217 |
| CodexUserStudyData/Assisted/c23b2615-700f-48f2-b33d-3433d1c25bb6 (Files)                                                                                        |          8 |      1,504 |         74 |         26 |      1,604 |
| CodexUserStudyData/Assisted/c23b2615-700f-48f2-b33d-3433d1c25bb6/parts                                                                                          |         12 |        400 |        150 |         63 |        613 |
| CodexUserStudyData/Assisted/dac37585-9926-4e20-8ac1-40addd42f1a8                                                                                                |         20 |      1,791 |        264 |         89 |      2,144 |
| CodexUserStudyData/Assisted/dac37585-9926-4e20-8ac1-40addd42f1a8 (Files)                                                                                        |          8 |      1,448 |        101 |         27 |      1,576 |
| CodexUserStudyData/Assisted/dac37585-9926-4e20-8ac1-40addd42f1a8/parts                                                                                          |         12 |        343 |        163 |         62 |        568 |
| CodexUserStudyData/Assisted/dc47e379-a3ba-464c-aa89-69374080111a                                                                                                |         20 |      1,717 |        239 |        124 |      2,080 |
| CodexUserStudyData/Assisted/dc47e379-a3ba-464c-aa89-69374080111a (Files)                                                                                        |          8 |      1,433 |         83 |         50 |      1,566 |
| CodexUserStudyData/Assisted/dc47e379-a3ba-464c-aa89-69374080111a/parts                                                                                          |         12 |        284 |        156 |         74 |        514 |
| CodexUserStudyData/Assisted/ddac8637-a99c-458d-bff5-916acb92e259                                                                                                |         20 |      1,841 |        217 |         93 |      2,151 |
| CodexUserStudyData/Assisted/ddac8637-a99c-458d-bff5-916acb92e259 (Files)                                                                                        |          8 |      1,467 |         66 |         28 |      1,561 |
| CodexUserStudyData/Assisted/ddac8637-a99c-458d-bff5-916acb92e259/parts                                                                                          |         12 |        374 |        151 |         65 |        590 |
| CodexUserStudyData/Assisted/e04ce3f6-46eb-465e-9828-5e768febf9be                                                                                                |         20 |      1,945 |        190 |        160 |      2,295 |
| CodexUserStudyData/Assisted/e04ce3f6-46eb-465e-9828-5e768febf9be (Files)                                                                                        |          8 |      1,523 |         55 |         62 |      1,640 |
| CodexUserStudyData/Assisted/e04ce3f6-46eb-465e-9828-5e768febf9be/parts                                                                                          |         12 |        422 |        135 |         98 |        655 |
| CodexUserStudyData/Assisted/ec83a892-5cfa-46bf-aab8-673aee747cb8                                                                                                |         20 |      1,900 |        179 |         87 |      2,166 |
| CodexUserStudyData/Assisted/ec83a892-5cfa-46bf-aab8-673aee747cb8 (Files)                                                                                        |          8 |      1,502 |         53 |         25 |      1,580 |
| CodexUserStudyData/Assisted/ec83a892-5cfa-46bf-aab8-673aee747cb8/parts                                                                                          |         12 |        398 |        126 |         62 |        586 |
| CodexUserStudyData/Assisted/fd621e01-4962-4699-b49a-012c08563cb5                                                                                                |         20 |      1,590 |        238 |         86 |      1,914 |
| CodexUserStudyData/Assisted/fd621e01-4962-4699-b49a-012c08563cb5 (Files)                                                                                        |          8 |      1,349 |         89 |         25 |      1,463 |
| CodexUserStudyData/Assisted/fd621e01-4962-4699-b49a-012c08563cb5/parts                                                                                          |         12 |        241 |        149 |         61 |        451 |
| CodexUserStudyData/Assisted/ff36e2ef-af58-426f-97ae-dc8ba80ff4a0                                                                                                |         20 |      1,755 |        204 |        133 |      2,092 |
| CodexUserStudyData/Assisted/ff36e2ef-af58-426f-97ae-dc8ba80ff4a0 (Files)                                                                                        |          8 |      1,491 |         67 |         54 |      1,612 |
| CodexUserStudyData/Assisted/ff36e2ef-af58-426f-97ae-dc8ba80ff4a0/parts                                                                                          |         12 |        264 |        137 |         79 |        480 |
| CodexUserStudyData/Autopilot                                                                                                                                    |        600 |     56,833 |      5,335 |      3,382 |     65,550 |
| CodexUserStudyData/Autopilot/cushman-001_00                                                                                                                     |         20 |      1,828 |        173 |         84 |      2,085 |
| CodexUserStudyData/Autopilot/cushman-001_00 (Files)                                                                                                             |          8 |      1,466 |         55 |         24 |      1,545 |
| CodexUserStudyData/Autopilot/cushman-001_00/parts                                                                                                               |         12 |        362 |        118 |         60 |        540 |
| CodexUserStudyData/Autopilot/cushman-001_01                                                                                                                     |         20 |      1,937 |        164 |         84 |      2,185 |
| CodexUserStudyData/Autopilot/cushman-001_01 (Files)                                                                                                             |          8 |      1,521 |         53 |         24 |      1,598 |
| CodexUserStudyData/Autopilot/cushman-001_01/parts                                                                                                               |         12 |        416 |        111 |         60 |        587 |
| CodexUserStudyData/Autopilot/cushman-001_02                                                                                                                     |         20 |      1,872 |        229 |         84 |      2,185 |
| CodexUserStudyData/Autopilot/cushman-001_02 (Files)                                                                                                             |          8 |      1,488 |         86 |         24 |      1,598 |
| CodexUserStudyData/Autopilot/cushman-001_02/parts                                                                                                               |         12 |        384 |        143 |         60 |        587 |
| CodexUserStudyData/Autopilot/cushman-001_03                                                                                                                     |         20 |      1,916 |        341 |        106 |      2,363 |
| CodexUserStudyData/Autopilot/cushman-001_03 (Files)                                                                                                             |          8 |      1,510 |        126 |         35 |      1,671 |
| CodexUserStudyData/Autopilot/cushman-001_03/parts                                                                                                               |         12 |        406 |        215 |         71 |        692 |
| CodexUserStudyData/Autopilot/cushman-001_04                                                                                                                     |         20 |      1,870 |        195 |         84 |      2,149 |
| CodexUserStudyData/Autopilot/cushman-001_04 (Files)                                                                                                             |          8 |      1,487 |         57 |         24 |      1,568 |
| CodexUserStudyData/Autopilot/cushman-001_04/parts                                                                                                               |         12 |        383 |        138 |         60 |        581 |
| CodexUserStudyData/Autopilot/cushman-001_05                                                                                                                     |         20 |      1,918 |        293 |        204 |      2,415 |
| CodexUserStudyData/Autopilot/cushman-001_05 (Files)                                                                                                             |          8 |      1,511 |        126 |         84 |      1,721 |
| CodexUserStudyData/Autopilot/cushman-001_05/parts                                                                                                               |         12 |        407 |        167 |        120 |        694 |
| CodexUserStudyData/Autopilot/cushman-001_06                                                                                                                     |         20 |      1,714 |        185 |        118 |      2,017 |
| CodexUserStudyData/Autopilot/cushman-001_06 (Files)                                                                                                             |          8 |      1,409 |         72 |         41 |      1,522 |
| CodexUserStudyData/Autopilot/cushman-001_06/parts                                                                                                               |         12 |        305 |        113 |         77 |        495 |
| CodexUserStudyData/Autopilot/cushman-001_07                                                                                                                     |         20 |      1,964 |        153 |        152 |      2,269 |
| CodexUserStudyData/Autopilot/cushman-001_07 (Files)                                                                                                             |          8 |      1,534 |         56 |         58 |      1,648 |
| CodexUserStudyData/Autopilot/cushman-001_07/parts                                                                                                               |         12 |        430 |         97 |         94 |        621 |
| CodexUserStudyData/Autopilot/cushman-001_08                                                                                                                     |         20 |      1,800 |        197 |        178 |      2,175 |
| CodexUserStudyData/Autopilot/cushman-001_08 (Files)                                                                                                             |          8 |      1,452 |         78 |         71 |      1,601 |
| CodexUserStudyData/Autopilot/cushman-001_08/parts                                                                                                               |         12 |        348 |        119 |        107 |        574 |
| CodexUserStudyData/Autopilot/cushman-001_09                                                                                                                     |         20 |      1,886 |        151 |         84 |      2,121 |
| CodexUserStudyData/Autopilot/cushman-001_09 (Files)                                                                                                             |          8 |      1,495 |         55 |         24 |      1,574 |
| CodexUserStudyData/Autopilot/cushman-001_09/parts                                                                                                               |         12 |        391 |         96 |         60 |        547 |
| CodexUserStudyData/Autopilot/davinci-001_00                                                                                                                     |         20 |      2,082 |        147 |         84 |      2,313 |
| CodexUserStudyData/Autopilot/davinci-001_00 (Files)                                                                                                             |          8 |      1,593 |         53 |         24 |      1,670 |
| CodexUserStudyData/Autopilot/davinci-001_00/parts                                                                                                               |         12 |        489 |         94 |         60 |        643 |
| CodexUserStudyData/Autopilot/davinci-001_01                                                                                                                     |         20 |      2,044 |        257 |         84 |      2,385 |
| CodexUserStudyData/Autopilot/davinci-001_01 (Files)                                                                                                             |          8 |      1,574 |        108 |         24 |      1,706 |
| CodexUserStudyData/Autopilot/davinci-001_01/parts                                                                                                               |         12 |        470 |        149 |         60 |        679 |
| CodexUserStudyData/Autopilot/davinci-001_02                                                                                                                     |         20 |      1,658 |        201 |        112 |      1,971 |
| CodexUserStudyData/Autopilot/davinci-001_02 (Files)                                                                                                             |          8 |      1,381 |         80 |         38 |      1,499 |
| CodexUserStudyData/Autopilot/davinci-001_02/parts                                                                                                               |         12 |        277 |        121 |         74 |        472 |
| CodexUserStudyData/Autopilot/davinci-001_03                                                                                                                     |         20 |      1,886 |        149 |         84 |      2,119 |
| CodexUserStudyData/Autopilot/davinci-001_03 (Files)                                                                                                             |          8 |      1,495 |         54 |         24 |      1,573 |
| CodexUserStudyData/Autopilot/davinci-001_03/parts                                                                                                               |         12 |        391 |         95 |         60 |        546 |
| CodexUserStudyData/Autopilot/davinci-001_04                                                                                                                     |         20 |      1,886 |        147 |        106 |      2,139 |
| CodexUserStudyData/Autopilot/davinci-001_04 (Files)                                                                                                             |          8 |      1,495 |         53 |         35 |      1,583 |
| CodexUserStudyData/Autopilot/davinci-001_04/parts                                                                                                               |         12 |        391 |         94 |         71 |        556 |
| CodexUserStudyData/Autopilot/davinci-001_05                                                                                                                     |         20 |      1,786 |        219 |        144 |      2,149 |
| CodexUserStudyData/Autopilot/davinci-001_05 (Files)                                                                                                             |          8 |      1,445 |         89 |         54 |      1,588 |
| CodexUserStudyData/Autopilot/davinci-001_05/parts                                                                                                               |         12 |        341 |        130 |         90 |        561 |
| CodexUserStudyData/Autopilot/davinci-001_06                                                                                                                     |         20 |      2,030 |        147 |         84 |      2,261 |
| CodexUserStudyData/Autopilot/davinci-001_06 (Files)                                                                                                             |          8 |      1,567 |         53 |         24 |      1,644 |
| CodexUserStudyData/Autopilot/davinci-001_06/parts                                                                                                               |         12 |        463 |         94 |         60 |        617 |
| CodexUserStudyData/Autopilot/davinci-001_07                                                                                                                     |         20 |      1,858 |        149 |        194 |      2,201 |
| CodexUserStudyData/Autopilot/davinci-001_07 (Files)                                                                                                             |          8 |      1,481 |         54 |         79 |      1,614 |
| CodexUserStudyData/Autopilot/davinci-001_07/parts                                                                                                               |         12 |        377 |         95 |        115 |        587 |
| CodexUserStudyData/Autopilot/davinci-001_08                                                                                                                     |         20 |      1,994 |        147 |        192 |      2,333 |
| CodexUserStudyData/Autopilot/davinci-001_08 (Files)                                                                                                             |          8 |      1,549 |         53 |         78 |      1,680 |
| CodexUserStudyData/Autopilot/davinci-001_08/parts                                                                                                               |         12 |        445 |         94 |        114 |        653 |
| CodexUserStudyData/Autopilot/davinci-001_09                                                                                                                     |         20 |      1,686 |        217 |        138 |      2,041 |
| CodexUserStudyData/Autopilot/davinci-001_09 (Files)                                                                                                             |          8 |      1,395 |         88 |         51 |      1,534 |
| CodexUserStudyData/Autopilot/davinci-001_09/parts                                                                                                               |         12 |        291 |        129 |         87 |        507 |
| CodexUserStudyData/Autopilot/davinci-002_00                                                                                                                     |         20 |      1,912 |        147 |         84 |      2,143 |
| CodexUserStudyData/Autopilot/davinci-002_00 (Files)                                                                                                             |          8 |      1,508 |         53 |         24 |      1,585 |
| CodexUserStudyData/Autopilot/davinci-002_00/parts                                                                                                               |         12 |        404 |         94 |         60 |        558 |
| CodexUserStudyData/Autopilot/davinci-002_01                                                                                                                     |         20 |      2,030 |        151 |         96 |      2,277 |
| CodexUserStudyData/Autopilot/davinci-002_01 (Files)                                                                                                             |          8 |      1,567 |         55 |         30 |      1,652 |
| CodexUserStudyData/Autopilot/davinci-002_01/parts                                                                                                               |         12 |        463 |         96 |         66 |        625 |
| CodexUserStudyData/Autopilot/davinci-002_02                                                                                                                     |         20 |      1,892 |        147 |         84 |      2,123 |
| CodexUserStudyData/Autopilot/davinci-002_02 (Files)                                                                                                             |          8 |      1,498 |         53 |         24 |      1,575 |
| CodexUserStudyData/Autopilot/davinci-002_02/parts                                                                                                               |         12 |        394 |         94 |         60 |        548 |
| CodexUserStudyData/Autopilot/davinci-002_03                                                                                                                     |         20 |      1,898 |        147 |        114 |      2,159 |
| CodexUserStudyData/Autopilot/davinci-002_03 (Files)                                                                                                             |          8 |      1,501 |         53 |         39 |      1,593 |
| CodexUserStudyData/Autopilot/davinci-002_03/parts                                                                                                               |         12 |        397 |         94 |         75 |        566 |
| CodexUserStudyData/Autopilot/davinci-002_04                                                                                                                     |         20 |      1,948 |        147 |         84 |      2,179 |
| CodexUserStudyData/Autopilot/davinci-002_04 (Files)                                                                                                             |          8 |      1,526 |         53 |         24 |      1,603 |
| CodexUserStudyData/Autopilot/davinci-002_04/parts                                                                                                               |         12 |        422 |         94 |         60 |        576 |
| CodexUserStudyData/Autopilot/davinci-002_05                                                                                                                     |         20 |      1,872 |        147 |         84 |      2,103 |
| CodexUserStudyData/Autopilot/davinci-002_05 (Files)                                                                                                             |          8 |      1,488 |         53 |         24 |      1,565 |
| CodexUserStudyData/Autopilot/davinci-002_05/parts                                                                                                               |         12 |        384 |         94 |         60 |        538 |
| CodexUserStudyData/Autopilot/davinci-002_06                                                                                                                     |         20 |      1,970 |        147 |        148 |      2,265 |
| CodexUserStudyData/Autopilot/davinci-002_06 (Files)                                                                                                             |          8 |      1,537 |         53 |         56 |      1,646 |
| CodexUserStudyData/Autopilot/davinci-002_06/parts                                                                                                               |         12 |        433 |         94 |         92 |        619 |
| CodexUserStudyData/Autopilot/davinci-002_07                                                                                                                     |         20 |      1,886 |        147 |         86 |      2,119 |
| CodexUserStudyData/Autopilot/davinci-002_07 (Files)                                                                                                             |          8 |      1,495 |         53 |         25 |      1,573 |
| CodexUserStudyData/Autopilot/davinci-002_07/parts                                                                                                               |         12 |        391 |         94 |         61 |        546 |
| CodexUserStudyData/Autopilot/davinci-002_08                                                                                                                     |         20 |      1,916 |        147 |        110 |      2,173 |
| CodexUserStudyData/Autopilot/davinci-002_08 (Files)                                                                                                             |          8 |      1,510 |         53 |         37 |      1,600 |
| CodexUserStudyData/Autopilot/davinci-002_08/parts                                                                                                               |         12 |        406 |         94 |         73 |        573 |
| CodexUserStudyData/Autopilot/davinci-002_09                                                                                                                     |         20 |      1,894 |        147 |         92 |      2,133 |
| CodexUserStudyData/Autopilot/davinci-002_09 (Files)                                                                                                             |          8 |      1,499 |         53 |         28 |      1,580 |
| CodexUserStudyData/Autopilot/davinci-002_09/parts                                                                                                               |         12 |        395 |         94 |         64 |        553 |
| CodexUserStudyData/Control                                                                                                                                      |        560 |     47,114 |      6,288 |      3,100 |     56,502 |
| CodexUserStudyData/Control/035a8eed-29c0-4606-814d-4cb786d0b9de                                                                                                 |         20 |      1,840 |        188 |        151 |      2,179 |
| CodexUserStudyData/Control/035a8eed-29c0-4606-814d-4cb786d0b9de (Files)                                                                                         |          8 |      1,472 |         52 |         57 |      1,581 |
| CodexUserStudyData/Control/035a8eed-29c0-4606-814d-4cb786d0b9de/parts                                                                                           |         12 |        368 |        136 |         94 |        598 |
| CodexUserStudyData/Control/1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf                                                                                                 |         20 |      1,906 |        300 |        226 |      2,432 |
| CodexUserStudyData/Control/1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf (Files)                                                                                         |          8 |      1,505 |        113 |         94 |      1,712 |
| CodexUserStudyData/Control/1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf/parts                                                                                           |         12 |        401 |        187 |        132 |        720 |
